Points:0,Points:1,Points:2,total_traction:0,total_traction:1,total_traction:2
-0.017957,0.10153,-1.351,8807.9,-51390.0,458.81
-0.018076,0.10143,-1.3609,8941.0,-51370.0,454.87
-0.0089863,0.10261,-1.3556,4130.9,-51977.0,443.81
-0.01031,-0.097512,0.10464,8436.8,48613.0,-396.48
-0.013004,-0.096846,0.11599,10975.0,48092.0,-447.31
-0.0047859,-0.098101,0.11248,3531.0,49211.0,-606.29
0.090472,-0.045026,2.6245,-43985.0,21770.0,-65.531
0.094258,-0.036423,2.6329,-45717.0,17839.0,24.507
0.09425,-0.036481,2.6235,-45775.0,17701.0,-78.632
0.096305,0.026766,-1.8689,-50360.0,-14193.0,31.72
0.098638,0.016526,-1.8701,-51536.0,-9044.1,-51.971
0.098433,0.017848,-1.8615,-51426.0,-9613.8,194.37
0.052225,-0.06209,-0.029093,-47269.0,15917.0,-74.747
0.049107,-0.069535,-0.037026,-44682.0,22321.0,131.22
-0.018027,-0.095533,0.10855,15462.0,46848.0,-372.46
0.10024,0.025816,1.3084,-47884.0,-12628.0,60.869
0.097186,0.035519,1.3015,-46526.0,-16969.0,-23.994
0.10028,0.025746,1.2998,-47900.0,-12581.0,-122.58
-0.033386,0.094371,3.8518,16578.0,-45713.0,20.207
-0.03955,0.0919,3.8452,19646.0,-44483.0,71.817
-0.030659,0.09532,3.8414,15180.0,-46200.0,128.32
0.10006,-0.0073103,0.53079,-49438.0,3870.2,529.55
-0.094484,-0.037148,0.63653,46318.0,17781.0,430.62
-0.09685,-0.029995,0.62795,47515.0,14277.0,333.07
-0.097955,-0.026333,0.63595,48007.0,12524.0,468.75
0.09638,0.026612,-1.8588,-50349.0,-14210.0,146.69
0.090689,-0.044549,2.6344,-44045.0,21639.0,-16.671
-0.059865,0.079921,3.8333,29381.0,-38755.0,50.069
-0.065473,0.075359,3.8273,31981.0,-36641.0,57.413
-0.057658,0.081539,3.8225,28293.0,-39561.0,21.913
0.069696,-0.018323,-0.21029,-50289.0,-6358.4,-8291.2
0.066727,-0.012576,-0.19919,-49154.0,-11779.0,-8807.7
0.067712,-0.0095102,-0.20862,-48862.0,-12862.0,-9212.8
0.072896,-0.015596,-0.23117,-50428.0,-5767.3,-8510.7
0.068449,-0.021379,-0.20054,-50442.0,-5043.0,-7919.5
0.10178,-0.00021331,2.3129,-49189.0,73.973,-122.4
0.10145,-0.0080428,2.3076,-49030.0,3974.6,-60.446
0.1013,-0.0094562,2.3185,-48957.0,4748.2,-122.18
0.070787,-0.0076309,-0.22722,-49224.0,-11708.0,-9352.4
-0.003588,0.087448,-0.37215,1379.6,-50931.0,-9414.9
-0.011588,0.088412,-0.38065,5860.5,-50709.0,-8920.8
-0.00099787,0.089071,-0.38094,113.7,-51044.0,-8939.2
0.10231,-0.0091469,0.85038,-49402.0,4653.7,167.12
0.10083,-0.019476,0.85502,-48699.0,9511.1,207.95
0.10234,-0.0093535,0.85996,-49391.0,4748.2,325.42
-0.042926,-0.010636,0.0079261,38595.0,-31071.0,443.44
-0.047311,-0.016906,0.00052222,42555.0,-25498.0,53.122
-0.041361,-0.0087985,-0.0015008,37214.0,-32800.0,20.269
-0.011983,0.086531,-0.37061,6316.9,-50529.0,-9558.5
-0.097917,-0.027473,2.3558,47416.0,13028.0,16.534
-0.093992,-0.039041,2.3534,45571.0,18477.0,-82.132
-0.096882,-0.031107,2.3471,46898.0,14794.0,-294.29
0.10118,-0.016687,1.8786,-48638.0,8283.7,-43.232
0.10218,-0.0095712,1.8688,-49107.0,4812.7,-95.886
0.10058,-0.02002,1.8694,-48333.0,9929.0,-153.17
0.037412,0.092653,3.9571,-18182.0,-45057.0,90.917
0.039321,0.091862,3.9476,-18895.0,-44768.0,-138.38
0.047987,0.087703,3.9537,-22828.0,-42893.0,3.7982
0.10236,-0.00099912,2.003,-49293.0,555.87,-11.861
0.10238,-0.00057105,1.9935,-49299.0,349.59,-225.91
0.10175,-0.011094,1.9968,-48975.0,5637.4,-119.12
-0.051073,0.088436,0.73035,25163.0,-42776.0,190.81
-0.042826,0.092835,0.7346,21265.0,-44842.0,286.99
-0.052806,0.087466,0.74026,25982.0,-42283.0,376.89
-0.086455,-0.049235,-0.46001,45096.0,25559.0,-918.58
-0.085608,-0.050971,-0.46887,44595.0,26430.0,-1048.7
-0.090474,-0.041638,-0.46808,47237.0,21349.0,-1143.4
0.083388,0.053654,0.47135,-41690.0,-26770.0,1607.1
0.077736,0.061689,0.47296,-38929.0,-30647.0,1617.0
0.080587,0.057282,0.46329,-40397.0,-28657.0,1958.7
-0.066655,-0.030366,0.18154,48867.0,-262.59,6839.6
-0.067337,-0.023774,0.18817,48580.0,-4153.1,7635.6
-0.067955,-0.033775,0.19155,48804.0,2905.0,6770.7
-0.10048,0.022506,-1.3353,50975.0,-10941.0,362.52
-0.10044,0.023055,-1.3255,50907.0,-11230.0,562.7
-0.10231,0.011803,-1.3291,51750.0,-6304.1,543.46
0.074822,0.064734,0.46458,-37492.0,-32361.0,2013.9
-0.028685,0.1001,-1.2272,14492.0,-50048.0,487.74
-0.037655,0.096943,-1.2347,19047.0,-48502.0,338.69
-0.027343,0.10039,-1.2362,13925.0,-50214.0,244.71
0.0057454,-0.10159,0.70957,-2992.7,49529.0,249.08
-0.0045824,-0.10169,0.70644,1902.1,49582.0,309.6
-0.0027527,-0.1018,0.71616,887.51,49611.0,292.71
0.1022,-0.016953,1.2449,-48831.0,8349.5,-115.7
0.099928,-0.027108,1.2484,-47752.0,13183.0,-41.931
0.10214,-0.017294,1.2539,-48771.0,8675.2,60.715
